track,dataset_name,source,arxiv_or_doi,what_measured,public,machine_readable,license,recommended_role,quality_notes
A,SDSS High-z Quasar Compilation,Fan et al. 2023,2212.06907,~300 quasars at z > 5.7 with virial BH masses,yes,partial,journal copyright,Primary high-z SMBH catalog for seed mass survey,Virial masses carry ~0.3-0.5 dex systematic uncertainty; most comprehensive compilation
A,UHZ-1 (z=10.1),Bogdan et al. 2024,2305.15458,X-ray AGN at z=10.1; M_BH ~ 4e7 M_sun from X-ray luminosity,yes,single object,journal copyright,Key high-z constraint — exceptionally high M_BH/M_star,BH mass indirect (X-ray); lensing magnification mu~4-8; large systematic uncertainty
A,GN-z11 AGN (z=10.6),Maiolino et al. 2024,2305.12492,JWST NIRSpec broad H-alpha AGN; M_BH ~ 1.6e6 M_sun,yes,single object,journal copyright,Highest-z spectroscopic AGN — key seed mass constraint,Broad-line identification debated but multiply confirmed
A,CEERS AGN Candidates,Larson et al. 2023,2303.08918,JWST CEERS AGN candidates at z ~ 4-8,yes,partial,journal copyright,Supplementary sample at intermediate redshifts,Some candidates lack spectroscopic confirmation
A,JWST UV Luminosity Functions z>8,Harikane et al. 2023,2208.01612,Galaxy UV luminosity functions at z = 9-17,yes,yes,journal copyright,Background galaxy population context for Track A,UV LFs revised multiple times with JWST calibration updates
A,Little Red Dots Review,Greene et al. 2024,2309.05714,Review of compact red JWST sources at z ~ 4-9 possibly dust-obscured AGN,yes,partial,journal copyright,Context and additional high-z AGN candidates,Nature of little red dots actively debated; some may be star-forming galaxies
A,Seed Formation Model Review,Inayoshi Visbal Haiman 2020,1911.05791,Comprehensive SMBH seed formation review with model comparison tables,yes,yes,journal copyright,Primary reference for seed channel parameters (Table 1),Pre-JWST review; seed mass requirements need updating with JWST data
B,PBHbounds,Bradley Kavanagh (GitHub),github.com/bradkav/PBHbounds,Compiled f_PBH(M) upper limits from ~30 constraint channels,yes,yes,MIT,GOLD STANDARD — primary PBH constraint source for Track B,Actively maintained; machine-readable .dat/.csv files; check for updates
B,Comprehensive PBH Review,Carr et al. 2021,2002.12778,PBH constraints across full mass range with methodology discussion,yes,no,journal copyright,Reference for constraint methodology and caveats,Some constraints updated since publication; use PBHbounds for numerical data
B,Updated PBH Constraints Review,Green and Kavanagh 2021,2007.10722,Updated PBH constraints with extended mass function analysis,yes,no,journal copyright,Reference for extended (non-monochromatic) mass function methodology,Important for log-normal mass function treatment
C,FIRAS mu-distortion,Fixsen et al. 1996,ApJ 473 576,CMB spectral distortion |mu| < 9e-5 at 95% CL,yes,single value,public domain (NASA),P(k) constraint at 1 < k < 1e4 Mpc^-1; cross-check for broad P(k) bumps,30-year-old measurement still the best; SMBH scales k~1e5 are above FIRAS window
C,PIXIE/PRISTINE projections,Kogut et al. 2011,1105.2044,Projected mu-distortion sensitivity sigma_mu ~ 1e-8,yes,forecast only,N/A,Future constraint projection on joint figure,Mission not selected for flight; use as projection only
ABC,Planck 2018 Cosmological Parameters,Planck Collaboration 2018,1807.06209,H0 Omega_m Omega_b sigma8 ns As baseline cosmology,yes,yes,public,Baseline cosmology for all sigma(M) D(z) t(z) calculations,Use TT+TE+EE+lowE+lensing best-fit (Table 2)
A,Press-Schechter / Sheth-Tormen / Tinker,Press Schechter 1974; Sheth Tormen 1999; Tinker et al. 2008,various,Analytic halo mass function dn/dM,yes,analytic formulae,N/A,Core halo abundance calculation for Track A,Calibrated at z<10; extrapolation to z>15 has O(1) systematic at high-mass tail
