track,dataset_name,source_paper,arxiv_or_doi,what_measured,format,public,machine_readable,license,appropriate_for_paper,quality,notes
A,UHZ-1 X-ray AGN,Bogdan et al. (2024) Nature Astronomy 8 126,2305.15458,BH mass ~4e7 M_sun at z~10.1 from X-ray luminosity,single object in paper text,yes,needs extraction,Nature Astronomy,yes,vetted,"Highest-z X-ray AGN; mass depends on L_X scaling (~0.5 dex uncertainty)"
A,GN-z11 AGN,Maiolino et al. (2024) Nature 627 59,2305.12492,BH mass ~1.6e6 M_sun at z=10.6 from virial estimator,single object in paper text,yes,needs extraction,Nature,yes,vetted,"JWST NIRSpec broad-line detection; virial mass has ~0.3-0.5 dex systematic"
A,CEERS High-z AGN Candidates,Larson et al. (2023) ApJ 953 L29,2303.08918,Photometric AGN candidates at z>8 in CEERS survey,paper tables + MAST photometry catalog,yes,partially — catalog yes / AGN IDs need extraction,NASA MAST public,partially,vetted,"CEERS photometric catalog downloadable from MAST; AGN selection requires paper"
A,JWST High-z SMBH Review Compilation,Greene et al. (2024) ApJ 964 39,2309.05714,Compiled census of JWST-discovered AGN at z>4 including Little Red Dots,summary tables in review paper,yes,needs extraction,AAS open access,yes,vetted,"Best single-source compilation; ~50+ objects but must be manually extracted"
A,Heavy vs Light Seed Model Predictions,Natarajan et al. (2024) ApJL 960 L1,2302.04888,Predicted BH mass functions for light (~100 M_sun) vs heavy (~1e4-1e5 M_sun) seeds,model curves in paper figures,yes,needs digitization,AAS,yes,vetted,"Theoretical comparison framework; curves must be digitized from figures"
A,SDSS/BOSS High-z Quasar Catalog,Wu & Shen (2022) ApJS 263 42; Yang et al. (2023),various,Spectroscopic quasars z>5 with virial BH masses from MgII,FITS/CSV from SDSS DR18,yes,directly usable,public,yes,vetted,"Most machine-readable high-z SMBH dataset; z~5-7 not z>8"
A,SMBH Formation Review,Inayoshi Visbal & Haiman (2020) ARAA 58 27,1911.05791,Review of seed formation channels with predicted mass functions,review paper figures,yes,needs digitization,ARAA,yes — as theory reference,vetted,"Comprehensive theory review; no downloadable data"
B,PBHbounds Constraint Compilation,Green & Kavanagh (2021) J.Phys.G 48 043001,2007.10722,PBH abundance upper limits f_PBH(M) across ~30 constraint channels,plain-text data files on GitHub,yes,directly usable,MIT (GitHub),yes,vetted,"GOLD STANDARD. GitHub: bradkav/PBHbounds. Regularly updated. ~30+ channels."
B,PBH Review — Carr et al.,Carr Kohri Sendouda & Yokoyama (2021) RPP 84 116902,2002.12778,Comprehensive PBH constraint review 10^15g to 10^10 M_sun,review paper constraint figures,yes,needs digitization (use PBHbounds instead),IoP,yes — as review reference,vetted,"1000+ citations. Use PBHbounds for actual data."
B,EROS-2 Microlensing,Tisserand et al. (2007) A&A 469 387,astro-ph/0607207,Microlensing constraints on compact halo objects M~1e-7 to 10 M_sun,constraint curves in paper; digitized in PBHbounds,yes,via PBHbounds,A&A,yes,vetted,"Foundational microlensing constraint from LMC/SMC"
B,Subaru/HSC Microlensing,Niikura et al. (2019) Nature Astronomy 3 524,1701.02151,Ultra-short timescale microlensing constraining M~1e-11 to 1e-6 M_sun,constraint curves; digitized in PBHbounds,yes,via PBHbounds,Nature Astronomy,yes,vetted,"Probes asteroid-mass PBH window"
B,OGLE Microlensing,Mroz et al. (2024) ApJS 273 4,2403.02398,Microlensing event rate constraints on compact objects,constraint curves; digitized in PBHbounds,yes,via PBHbounds,AAS,yes,vetted,"Updated OGLE constraints"
B,CMB Accretion Constraints (Planck-derived),Serpico et al. (2020) and others,various,PBH accretion modifying CMB spectrum for M>1 M_sun,constraint curves in PBHbounds,yes,via PBHbounds,various,yes,vetted,"Depends on accretion model assumptions (spherical vs disk)"
B,GWTC-3 GW Catalog,LIGO-Virgo-KAGRA Collaboration (2023),2111.03606,Binary BH merger catalog; rates constrain PBH abundance M~1-100 M_sun,HDF5/JSON via GWOSC,yes,directly usable,CC-BY-4.0,partially — raw catalog needs population modeling,vetted,"Derived PBH constraints available via PBHbounds"
B,Evaporation Constraints (Voyager/INTEGRAL/Fermi),Boudaud & Cirelli (2019); Laha (2019); DeRocco & Graham (2019),1807.03075; 1906.09994; 1906.07740,Hawking radiation products constraining M<1e17 g,constraint curves in PBHbounds,yes,via PBHbounds,various,yes,vetted,"Standard Hawking radiation physics"
B,Femtolensing Constraints (GRBs),Barnacka Glicenstein & Moderski (2012),1204.2056,Femtolensing of GRBs constraining M~1e17-1e20 g,constraint curves; partially in PBHbounds,yes,via PBHbounds,A&A,yes — with caveats,contested,"Katz et al. (2018) arXiv:1807.11495 showed finite-source effects weaken these bounds. FLAG."
C,Minami & Komatsu (2020) beta,Minami & Komatsu (2020) PRL 125 221301,2011.11254,"beta = 0.35 +/- 0.14 deg from Planck 2018 HFI EB",Gaussian constraint in paper text,yes,literature-extracted Gaussian,APS (PRL),yes,vetted,"First >2-sigma detection. Uses PR3 data (superseded by Eskilt 2022 PR4)."
C,Eskilt & Komatsu (2022) frequency analysis,Eskilt & Komatsu (2022) PRD 106 063503,2203.04830,Frequency-dependent beta from Planck PR3; confirms frequency independence,per-frequency beta values in paper tables,yes,literature-extracted,APS (PRD),yes — supporting evidence,vetted,"Cross-check of frequency independence"
C,Eskilt (2022) PR4 combined beta,Eskilt (2022) A&A 662 A10,2205.13962,"beta = 0.30 +/- 0.11 deg from Planck PR4 (NPIPE)",Gaussian constraint in paper text,yes,literature-extracted Gaussian,A&A open access,yes,vetted,"Tightest Planck-only constraint. Supersedes Minami & Komatsu for Planck."
C,Diego-Palazuelos & Komatsu (2025) ACT DR6,Diego-Palazuelos & Komatsu (2025),2509.13654,"beta = 0.215 +/- 0.074 deg (2.9-sigma) from ACT DR6",Gaussian constraint; GitHub code may exist,yes,literature-extracted Gaussian + possible GitHub code,AAS / preprint,yes,vetted,"Independent of Planck systematics. GitHub: pdp79/act_dr6_analysis"
C,Zagatti et al. (2025) PR4 map-space,Zagatti Trombetti & Natoli (2025),2502.07654,"beta = 0.46 +/- 0.04(stat) +/- 0.28(syst) deg from PR4 map-space estimator",Gaussian constraint with separate errors,yes,literature-extracted Gaussian,preprint,yes — with large syst caveat,vetted,"sigma_total ~ 0.28 deg when combining stat+syst. Less constraining than Eskilt."
C,SPIDER+Planck+ACT Combined,SPIDER Collaboration (2025),2510.25489,"Combined 7-sigma detection of cosmic birefringence",Gaussian constraint in paper,yes,literature-extracted Gaussian,preprint,yes,vetted,"Strongest combined significance. Extract combined beta +/- sigma carefully from paper."
C,Planck PR4 (NPIPE) Polarization Maps,Planck Collaboration / ESA,N/A — PLA official release,"Full-sky Q/U Stokes maps 70-353 GHz HEALPix Nside=2048",FITS (HEALPix),yes,directly usable with healpy,ESA-PSL,only if doing independent EB analysis,vetted,"~12 GB. Not needed for literature-level constraints."
C,ACT DR6 Public Data,ACT Collaboration,N/A — LAMBDA,"CMB temperature and polarization maps and power spectra from ACT",FITS,yes,directly usable,public (LAMBDA),only if doing independent analysis,vetted,"Available via lambda.gsfc.nasa.gov"
C,Birefringence Likelihood Code,No single public package exists,N/A,Self-calibration method for EB birefringence estimation,N/A,no — no standard public code,not available as standalone package,N/A,not needed — use published Gaussians,N/A,"Method well-documented in Minami & Komatsu (2020) for reimplementation if needed"
