dataset_id,local_path,file_name,file_type,file_size,row_count,column_names,paper_section_using_it,figures_using_it,script_using_it,status,original_source_url,citation_key,license,checksum_sha256,public_downloadable,mirrored_locally,notes
galaxy_spin_bins,reproducibility/galaxy_spins/galaxy_spin_data.csv,galaxy_spin_data.csv,CSV,1.1 KB,17,"z_bin_center,z_bin_width,N_cw,N_ccw,survey_id,b_weight,psf_quality_flag","Sec 5 (Data Methods), Appendix C",Figure 2,reproducibility/galaxy_spins/spin_fit_stan.py,reconstructed,NONE — see notes,Shamir2012;Shamir2022,N/A — reconstructed,eabbdc6adf9830c4b28ddaae561703bcf21fc2d43bbee4934b7f514207e9ee79,no,yes,"CRITICAL WEAKNESS: This is NOT raw per-galaxy data. It is 17 binned rows with round-number CW/CCW counts that appear to be manually constructed summary bins — not extracted from any specific published table. Identical copy at data/galaxy_spin_bins_example.csv. Includes 'SDSS' 'HST' and 'JWST' labels but JWST galaxy spin catalogs do not exist in the cited form. The N_cw/N_ccw values (e.g. 25420/24580) are suspiciously round and do not correspond to any specific published counts."
galaxy_spin_bins_example,data/galaxy_spin_bins_example.csv,galaxy_spin_bins_example.csv,CSV,1.1 KB,17,"z_bin_center,z_bin_width,N_cw,N_ccw,survey_id,b_weight,psf_quality_flag",same as above,Figure 2,same as above,reconstructed,NONE,Shamir2012;Shamir2022,N/A,eabbdc6adf9830c4b28ddaae561703bcf21fc2d43bbee4934b7f514207e9ee79,no,yes,Exact duplicate of galaxy_spin_data.csv. Same checksum.
galaxy_spin_counts_wp5,research/paper2/wp5_spin_amplitude/data/galaxy_spin_counts.csv,galaxy_spin_counts.csv,CSV,1.3 KB,5,"survey,N_CW,N_CCW,N_total,A_obs,sigma_A,z_range,sky_region,ref_table",Paper 2 WP5,"(internal Paper 2 figures)",research/paper2/wp5_spin_amplitude/monte_carlo_sensitivity.py,reconstructed,https://arxiv.org/abs/2401.09450,Shamir2024JWST,"public (published tables)",c43fd88645a590c3a1efc07b563e01ec8b7f5090f183e3a7de56c61b390f3989,no,yes,"HONEST: Clearly documented as 'reconstructed from published tables.' 5 survey-level aggregate rows extracted from Shamir (2024) paper text and tables. Much better documented than galaxy_spin_data.csv. Header says 'NOT from a downloadable machine-readable catalog.'"
figure_2_panel_a,data/figures/figure_2/panel_a.csv,panel_a.csv,CSV,0.2 KB,4,"Survey,z_mean,N_gal,Asymmetry_pred,Asymmetry_obs",Sec 3.3 / Fig 2,Figure 2,,internal_summary,N/A — model predictions,N/A,N/A,f2320ab7355f27a292552e0ad4cdd0b48018c3cf765b49a4de1c26bf5e8d69cb,no,yes,"4-row summary: SDSS_DR7 / PanSTARRS / JWST_JADES / LSST_Y10. Contains model-predicted asymmetries. LSST_Y10 is a forecast. PanSTARRS and LSST Asymmetry_obs are blank."
figure_3a_panel_a,data/figures/figure_3a/panel_a.csv,panel_a.csv,CSV,0.1 KB,3,"Model,H0,sigma8",Sec 4 / Fig 3a,Figure 3a,,internal_summary,N/A — model comparison,Planck2018;Riess2022,N/A,493986cb668d355bc388f6e2c5e0b5f6f1cc80de936de5365a9842bc5b37994c,no,yes,3-row summary: Planck / SH0ES / SpinTorsion model values. Published comparison values.
figure_3b_panel_a,data/figures/figure_3b/panel_a.csv,panel_a.csv,CSV,0.1 KB,3,"z,H_LCDM,H_SpinTorsion",Sec 4 / Fig 3b,Figure 3b,,internal_summary,N/A — model comparison,N/A,N/A,,no,yes,3-row H(z) comparison: LCDM vs SpinTorsion at z=0/0.5/1.0. Derived from model.
figure_6_panel_c,data/figures/figure_6/panel_c.csv,panel_c.csv,CSV,0.1 KB,4,"z,Omega_omega",Sec 6 / Fig 6,Figure 6c,,internal_summary,N/A — model curve,N/A,N/A,,no,yes,4-row model prediction: Omega_omega vs z. Pure theory curve.
figure_6_panel_d,data/figures/figure_6/panel_d.csv,panel_d.csv,CSV,0.2 KB,3,"Model,Observed_Value,Natural_Scale,Fine_Tuning_Score,Geometric_Explanation",Sec 6 / Fig 6,Figure 6d,,internal_summary,N/A — model comparison,N/A,N/A,,no,yes,Fine-tuning comparison: LCDM / Quintessence / SpinTorsion. Pedagogical summary.
figure_7_panel_c,data/figures/figure_7/panel_c.csv,panel_c.csv,CSV,0.2 KB,5,"Year,CMB_Significance_sigma,Galaxy_Significance_sigma,Combined_Significance_sigma",Sec 8 / Fig 7,Figure 7c,,internal_summary,N/A — forecasts,N/A,N/A,,no,yes,"5-row forecast timeline: 2025/2027/2030. Projection values, not observational data."
cls_EE_theory,data/cls_EE_theory_example.csv,cls_EE_theory_example.csv,CSV,0.6 KB,27,"ell,C_ell_EE",Sec 4-5,supporting,reproducibility scripts,derived_public,N/A — CAMB output,N/A,N/A,0baeca76edf6591d40b17f13a087ec02ef8cb0fd54c548b4f20086edf240eec7,yes,yes,"Theory EE power spectrum from CAMB. Standard cosmological computation, fully reproducible."
